,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
18167,722168,4960,OLIVIA REGIONAL AIRPORT,US,MN,KOVL,44.778999999999996,-95.03299999999999,328.0,20060101,20181020,True
18171,722170,3813,MIDDLE GEORGIA REGIONAL AIRPORT,US,GA,KMCN,32.685,-83.65299999999999,104.6,19411020,20181019,True
18248,722213,12819,LEESBURG REGIONAL AIRPORT,US,FL,KLEE,28.820999999999998,-81.81,23.5,20060101,20181019,True
18261,722223,13899,PENSACOLA REGIONAL AIRPORT,US,FL,KPNS,30.478,-87.18700000000001,34.1,19900228,20181019,True
18268,722230,13894,MOBILE REGIONAL AIRPORT,US,AL,KMOB,30.688000000000002,-88.24600000000001,65.5,19730101,20181019,True
18297,722251,53958,RUSTON REGIONAL AIRPORT,US,LA,KRSN,32.514,-92.588,94.8,20060425,20181019,True
18311,722268,13839,DOTHAN REGIONAL AIRPORT,US,AL,KDHN,31.316999999999997,-85.45,114.0,20060101,20181019,True
18327,722280,13876,BIRMINGHAM INTERNATIONAL AIRPORT,US,AL,KBHM,33.566,-86.745,187.5,19420801,20181019,True
18360,722314,53915,ACADIANA REGIONAL AIRPORT,US,LA,KARA,30.038,-91.884,7.3,20060101,20181019,True
18386,722332,54953,TOMAHAWK REGIONAL AIRPORT,US,WI,KTKV,45.468999999999994,-89.806,452.9,20060101,20181019,True
18390,722334,3976,BEAUREGARD REGIONAL AIRPORT,US,LA,KDRI,30.833000000000002,-93.333,62.2,20060101,20181019,True
18403,722343,54826,SOUTH HAVEN AREA REGIONAL AIRPORT,US,MI,KLWA,42.351000000000006,-86.256,203.0,20060101,20181019,True
18413,722350,3940,JACKSON INTERNATIONAL AIRPORT,US,MS,KJAN,32.321,-90.07799999999999,100.6,19420901,20181019,True
18414,722351,12953,WHARTON REGIONAL AIRPORT,US,TX,KARM,29.266,-96.008,30.5,20060101,20181020,True
18457,722400,3937,LAKE CHARLES REGIONAL AIRPORT,US,LA,KLCH,30.125,-93.228,2.7,19420502,20181019,True
18462,722405,13976,LAFAYETTE REGIONAL AIRPORT,US,LA,KLFT,30.205,-91.988,11.6,19451001,20181019,True
18468,722410,12917,SOUTHEAST TEXAS REGIONAL AIRPORT,US,TX,KBPT,29.951,-94.021,4.9,19730101,20181019,True
